CHR25.AtP.um.g40758	103	CHR25.AtP.um.g40758	103	CHR25.AtP.um.g40758	102
CHR25.AtP.um.g40759	149	CHR25.AtP.um.g40759	160	CHR25.AtP.um.g40759	158
CHR25.AtP.um.g40760	53	CHR25.AtP.um.g40760	57	CHR25.AtP.um.g40760	52
CHR25.AtP.um.g40761	445	CHR25.AtP.um.g40761	413	CHR25.AtP.um.g40761	489
CHR25.AtP.um.g40762	125	CHR25.AtP.um.g40762	111	CHR25.AtP.um.g40762	140
CHR25.AtP.um.g40763	139	CHR25.AtP.um.g40763	157	CHR25.AtP.um.g40763	136
CHR25.AtP.um.g40764	80	CHR25.AtP.um.g40764	70	CHR25.AtP.um.g40764	79
CHR25.AtP.um.g40765	262	CHR25.AtP.um.g40765	257	CHR25.AtP.um.g40765	282
CHR25.AtP.um.g40766	133	CHR25.AtP.um.g40766	145	CHR25.AtP.um.g40766	115
CHR25.AtP.um.g40767	327	CHR25.AtP.um.g40767	333	CHR25.AtP.um.g40767	322
CHR25.AtP.um.g40768	214	CHR25.AtP.um.g40768	222	CHR25.AtP.um.g40768	201
CHR25.AtP.um.g40769	83	CHR25.AtP.um.g40769	98	CHR25.AtP.um.g40769	78
CHR25.AtP.um.g40770	181	CHR25.AtP.um.g40770	145	CHR25.AtP.um.g40770	186
CHR25.AtP.um.g40771	127	CHR25.AtP.um.g40771	124	CHR25.AtP.um.g40771	124
CHR25.AtP.um.g40772	46	CHR25.AtP.um.g40772	59	CHR25.AtP.um.g40772	62
CHR25.AtP.um.g40773	128	CHR25.AtP.um.g40773	135	CHR25.AtP.um.g40773	148
CHR25.AtP.um.g40774	142	CHR25.AtP.um.g40774	139	CHR25.AtP.um.g40774	157
CHR25.AtP.um.g40775	231	CHR25.AtP.um.g40775	260	CHR25.AtP.um.g40775	252
CHR25.AtP.um.g40776	213	CHR25.AtP.um.g40776	230	CHR25.AtP.um.g40776	215
CHR25.AtP.um.g40777	132	CHR25.AtP.um.g40777	147	CHR25.AtP.um.g40777	121
CHR25.AtP.um.g40778	266	CHR25.AtP.um.g40778	245	CHR25.AtP.um.g40778	233
CHR25.AtP.um.g40779	498	CHR25.AtP.um.g40779	547	CHR25.AtP.um.g40779	517
CHR25.AtP.um.g40780	87	CHR25.AtP.um.g40780	90	CHR25.AtP.um.g40780	78
CHR25.AtP.um.g40781	299	CHR25.AtP.um.g40781	267	CHR25.AtP.um.g40781	312
CHR25.AtP.um.g40782	150	CHR25.AtP.um.g40782	138	CHR25.AtP.um.g40782	141
CHR25.AtP.um.g40783	176	CHR25.AtP.um.g40783	145	CHR25.AtP.um.g40783	175
CHR25.AtP.um.g40784	536	CHR25.AtP.um.g40784	536	CHR25.AtP.um.g40784	533
CHR25.AtP.um.g40785	105	CHR25.AtP.um.g40785	114	CHR25.AtP.um.g40785	85
CHR25.AtP.um.g40786	123	CHR25.AtP.um.g40786	120	CHR25.AtP.um.g40786	137
CHR25.AtP.um.g40787	175	CHR25.AtP.um.g40787	150	CHR25.AtP.um.g40787	171
CHR25.AtP.um.g40788	514	CHR25.AtP.um.g40788	495	CHR25.AtP.um.g40788	583
CHR25.AtP.um.g40789	400	CHR25.AtP.um.g40789	380	CHR25.AtP.um.g40789	404
CHR25.AtP.um.g40790	214	CHR25.AtP.um.g40790	212	CHR25.AtP.um.g40790	251
CHR25.AtP.um.g40791	110	CHR25.AtP.um.g40791	128	CHR25.AtP.um.g40791	109
CHR25.AtP.um.g40792	101	CHR25.AtP.um.g40792	113	CHR25.AtP.um.g40792	124
CHR25.AtP.um.g40793	320	CHR25.AtP.um.g40793	315	CHR25.AtP.um.g40793	313
CHR25.AtP.um.g40794	54	CHR25.AtP.um.g40794	68	CHR25.AtP.um.g40794	77
CHR25.AtP.um.g40795	626	CHR25.AtP.um.g40795	582	CHR25.AtP.um.g40795	625
CHR25.AtP.um.g40796	451	CHR25.AtP.um.g40796	447	CHR25.AtP.um.g40796	440
CHR25.AtP.um.g40797	616	CHR25.AtP.um.g40797	595	CHR25.AtP.um.g40797	608
CHR25.AtP.um.g40798	183	CHR25.AtP.um.g40798	196	CHR25.AtP.um.g40798	202
CHR25.AtP.um.g40799	63	CHR25.AtP.um.g40799	65	CHR25.AtP.um.g40799	46
CHR25.AtP.um.g40800	903	CHR25.AtP.um.g40800	851	CHR25.AtP.um.g40800	876
CHR25.AtP.um.g40801	687	CHR25.AtP.um.g40801	688	CHR25.AtP.um.g40801	708
CHR25.AtP.um.g40802	118	CHR25.AtP.um.g40802	126	CHR25.AtP.um.g40802	121
CHR25.AtP.um.g40803	142	CHR25.AtP.um.g40803	143	CHR25.AtP.um.g40803	127
CHR25.AtP.um.g40804	169	CHR25.AtP.um.g40804	158	CHR25.AtP.um.g40804	169
CHR25.AtP.um.g40805	325	CHR25.AtP.um.g40805	351	CHR25.AtP.um.g40805	340
CHR25.AtP.um.g40806	1195	CHR25.AtP.um.g40806	1202	CHR25.AtP.um.g40806	1212
CHR25.AtP.um.g40807	378	CHR25.AtP.um.g40807	358	CHR25.AtP.um.g40807	332
CHR25.AtP.um.g40808	774	CHR25.AtP.um.g40808	735	CHR25.AtP.um.g40808	758
CHR25.AtP.um.g40809	142	CHR25.AtP.um.g40809	143	CHR25.AtP.um.g40809	148
CHR25.AtP.um.g40810	77	CHR25.AtP.um.g40810	66	CHR25.AtP.um.g40810	88
CHR25.AtP.um.g40811	123	CHR25.AtP.um.g40811	121	CHR25.AtP.um.g40811	111
CHR25.AtP.um.g40812	111	CHR25.AtP.um.g40812	123	CHR25.AtP.um.g40812	109
CHR25.AtP.um.g40813	55	CHR25.AtP.um.g40813	57	CHR25.AtP.um.g40813	63
CHR25.AtP.um.g40814	147	CHR25.AtP.um.g40814	135	CHR25.AtP.um.g40814	162
CHR25.AtP.um.g40815	54	CHR25.AtP.um.g40815	69	CHR25.AtP.um.g40815	54
CHR25.AtP.um.g40816	127	CHR25.AtP.um.g40816	127	CHR25.AtP.um.g40816	134
CHR25.AtP.um.g40817	70	CHR25.AtP.um.g40817	80	CHR25.AtP.um.g40817	84
CHR25.AtP.um.g40818	212	CHR25.AtP.um.g40818	217	CHR25.AtP.um.g40818	182
