CHR25.AtP.um.g40684 90 99 74
CHR25.AtP.um.g40685 76 83 95
CHR25.AtP.um.g40686 52 63 73
CHR25.AtP.um.g40687 300 322 282
CHR25.AtP.um.g40688 184 183 159
CHR25.AtP.um.g40689 167 181 160
CHR25.AtP.um.g40690 180 207 207
CHR25.AtP.um.g40691 0 0 0
CHR25.AtP.um.g40692 51 53 64
CHR25.AtP.um.g40693 194 167 217
CHR25.AtP.um.g40694 230 227 248
CHR25.AtP.um.g40695 382 364 357
CHR25.AtP.um.g40696 56 56 65
CHR25.AtP.um.g40697 152 164 158
CHR25.AtP.um.g40698 66 72 70
CHR25.AtP.um.g40699 129 108 122
CHR25.AtP.um.g40700 112 133 129
CHR25.AtP.um.g40701 3 4 1
CHR25.AtP.um.g40702 4 6 4
CHR25.AtP.um.g40703 49 50 47
CHR25.AtP.um.g40704 115 103 117
CHR25.AtP.um.g40705 203 223 218
CHR25.AtP.um.g40706 150 153 189
CHR25.AtP.um.g40707 246 259 274
CHR25.AtP.um.g40708 59 54 50
CHR25.AtP.um.g40709 455 467 476
CHR25.AtP.um.g40710 433 419 409
CHR25.AtP.um.g40711 80 67 69
CHR25.AtP.um.g40712 254 245 287
CHR25.AtP.um.g40713 1065 1008 1001
CHR25.AtP.um.g40714 157 143 149
CHR25.AtP.um.g40715 416 471 491
CHR25.AtP.um.g40716 144 162 186
CHR25.AtP.um.g40717 160 171 180
CHR25.AtP.um.g40718 300 297 255
CHR25.AtP.um.g40719 103 93 120
CHR25.AtP.um.g40720 410 390 373
CHR25.AtP.um.g40721 452 410 400
CHR25.AtP.um.g40722 71 72 60
CHR25.AtP.um.g40723 339 367 360
CHR25.AtP.um.g40724 350 360 350
CHR25.AtP.um.g40725 188 199 210
CHR25.AtP.um.g40726 227 218 231
CHR25.AtP.um.g40727 506 589 541
CHR25.AtP.um.g40728 150 124 119
CHR25.AtP.um.g40729 530 558 580
CHR25.AtP.um.g40730 481 469 451
CHR25.AtP.um.g40731 121 105 98
CHR25.AtP.um.g40732 331 310 296
CHR25.AtP.um.g40733 142 115 117
CHR25.AtP.um.g40734 210 223 226
CHR25.AtP.um.g40735 64 66 66
CHR25.AtP.um.g40736 101 94 86
CHR25.AtP.um.g40737 50 56 49
CHR25.AtP.um.g40738 409 425 475
CHR25.AtP.um.g40739 522 472 492
CHR25.AtP.um.g40740 139 107 120
CHR25.AtP.um.g40741 61 63 65
CHR25.AtP.um.g40742 51 57 52
CHR25.AtP.um.g40743 313 309 318
CHR25.AtP.um.g40744 199 187 177
CHR25.AtP.um.g40745 119 109 113
CHR25.AtP.um.g40746 414 400 418
CHR25.AtP.um.g40747 117 79 95
CHR25.AtP.um.g40748 62 60 75
CHR25.AtP.um.g40749 178 173 170
CHR25.AtP.um.g40750 93 86 102
CHR25.AtP.um.g40751 353 398 375
CHR25.AtP.um.g40752 184 163 158
CHR25.AtP.um.g40753 315 318 344
CHR25.AtP.um.g40754 124 127 137
CHR25.AtP.um.g40755 292 252 266
CHR25.AtP.um.g40756 250 242 265
CHR25.AtP.um.g40757 175 178 177
CHR25.AtP.um.g40758 103 103 102
CHR25.AtP.um.g40759 149 160 158
CHR25.AtP.um.g40760 53 57 52
CHR25.AtP.um.g40761 445 413 489
CHR25.AtP.um.g40762 125 111 140
CHR25.AtP.um.g40763 139 157 136
CHR25.AtP.um.g40764 80 70 79
CHR25.AtP.um.g40765 262 257 282
CHR25.AtP.um.g40766 133 145 115
